file,status,x1,y1,x2,y2
.\image_00161_1.png,success,349.55,242.85,679.06,663.01
.\image_00162_1.png,success,357.45,241.18,665.99,668.86
.\image_00163_1.png,success,351.03,258.82,666.96,687.54
.\image_00164_1.png,success,343.03,266.66,670.27,661.33
.\image_00165_1.png,success,361.85,246.25,670.83,671.39
.\image_00166_1.png,success,344.48,242.81,671.47,684.46
.\image_00167_0.png,success,363.8,244.19,658.56,667.64
.\image_00168_1.png,success,359.91,256.71,671.85,672.6
.\image_00169_1.png,success,338.51,253.76,675.9,691.76
.\image_00170_1.png,success,353.32,257.95,654.3,670.44
.\image_00171_1.png,success,354.67,257.65,684.34,672.72
.\image_00172_1.png,success,351.36,272.24,668.02,671.08
.\image_00173_1.png,success,347.29,265.34,667.19,690.73
.\image_00174_1.png,success,358.82,280.27,649.83,670.91
.\image_00175_1.png,success,356.37,274.98,671.5,692.24
.\image_00176_1.png,success,355.48,255.74,677.72,678.86
.\image_00177_1.png,success,363.51,262.66,671.4,671.04
.\image_00178_1.png,success,349.26,260.66,662.4,665.5
.\image_00179_1.png,success,326.85,246.42,684.98,716.18
.\image_00180_1.png,success,328.95,244.46,692.02,767.62
.\image_00181_1.png,success,326.91,244.63,681.59,732.43
.\image_00182_1.png,success,318.89,229.65,690.27,752.56
.\image_00183_1.png,success,334.85,246.2,676.84,705.71
.\image_00184_1.png,success,336.1,266.38,685.39,737.87
.\image_00185_1.png,success,308.73,253.41,678.45,749.58
.\image_00186_1.png,success,327.33,297.47,670.24,716.83
.\image_00187_1.png,success,335.59,260.75,673.88,724.57
.\image_00188_1.png,success,339.56,254.15,670.87,725.36
.\image_00189_1.png,success,328.47,305.11,664.01,723.65
.\image_00190_1.png,success,315.15,253.47,683.35,741.37
.\image_00191_1.png,success,315.03,239.35,685.77,747.15
.\image_00192_1.png,success,338.96,245.06,679.77,720.74
.\image_00193_1.png,success,327.15,255.13,674.86,754.78
.\image_00194_1.png,success,334.99,265.99,692.12,716.7
.\image_00195_1.png,success,317.88,264.27,678.08,719.9
.\image_00196_1.png,success,313.85,254.62,682.87,731.26
.\image_00197_1.png,success,322.76,261.72,683.08,722.12
.\image_00198_1.png,success,292.23,253.09,682.6,789.05
.\image_00199_1.png,success,342.53,253.51,683.02,721.09
.\image_00200_1.png,success,324.02,229.85,681.26,733.94
